candidate_id,formula_family,source_dataset,source_id,paper_id,question_text,equation,correct_answer,is_quantitative_calculation,formula_supported,answer_verified,source_license_verified,decision,reviewer_id,reviewer_notes
candidate_shannon_capacity_01,shannon_capacity,XINLI1997/WirelessMATHBench-XL,9296,2501.02001v1,What function of the SNR determines the spectral efficiency?,$$R_{\mathrm{tr}} = B [MASK]$$,\boxed{\log (1 + \mathrm{SNR})},,,,,,,
candidate_shannon_capacity_02,shannon_capacity,XINLI1997/WirelessMATHBench-XL,10108,2009.09380v1,Complete the numerator (desired signal power) and the summation in denominator (interference power).,$$\rho_k = \frac{ [MASK] }{ [MASK] + \sigma_n^2 }$$,\boxed{\left| \left( \mathbf{g}_k^T \prod_{i=1}^{I_k} \mathbf{\Phi}_i \mathbf{H}_i + \mathbf{w}_k \right) \mathbf{f}_k \right|^2} and \boxed{\sum_{\substack{j=1 \\ j \neq k}}^K \left| \left( \mathbf{g}_k^T \prod_{i=1}^{I_k} \mathbf{\Phi}_i \mathbf{H}_i + \mathbf{w}_k \right) \mathbf{f}_j \right|^2},,,,,,,
candidate_shannon_capacity_03,shannon_capacity,XINLI1997/WirelessMATHBench-XL,10473,2411.11028v2,What is the complete expression inside the square root that defines the channel dispersion?,$$r = \log \left| \mathbf{I} + \mathbf{D}^{-1} \mathbf{S} \right| - Q^{-1}(\epsilon) \sqrt{ \frac{2[MASK]}{n} }$$,\boxed{\mathrm{Tr}\left( \mathbf{S} (\mathbf{D} + \mathbf{S})^{-1} \right)},,,,,,,
candidate_shannon_capacity_04,shannon_capacity,XINLI1997/WirelessMATHBench-XL,1142,2504.11905v1,What is the expression for the multi-user interference power?,"$$R_{k,n} = \frac{1}{Z} \sum_{z=1}^{Z} \log_2 \left( 1 + \frac{|(\mathbf{h}_{k,n}^{(z)})^H \mathbf{p}_{k,n}|^2}{[MASK] + \sigma^2} \right)$$","\boxed{\sum_{i \neq k}^{K} |(\mathbf{h}_{k,n}^{(z)})^H \mathbf{p}_{i,n}|^2}",,,,,,,
candidate_shannon_capacity_05,shannon_capacity,XINLI1997/WirelessMATHBench-XL,1151,2406.04188v2,What term represents the total interference power from other users?,$$\mathsf{SE}_k = \log \left(1 + \frac{ \| ( \mathbf{H}_k + \mathbf{G}_k \boldsymbol{\Theta} \mathbf{H}_{BR} ) \mathbf{f}_k \|_2^2 }{ [MASK] + \sigma_k^2 } \right)$$,\boxed{\sum_{u \neq k} \| ( \mathbf{H}_k + \mathbf{G}_k \boldsymbol{\Theta} \mathbf{H}_{BR} ) \mathbf{f}_u \|_2^2},,,,,,,
candidate_shannon_capacity_06,shannon_capacity,XINLI1997/WirelessMATHBench-XL,1152,2406.04188v2,Fill in the numerator (desired signal power) and the interference term.,$$\mathsf{SE}_k = \log \left(1 + \frac{ [MASK] }{ \sum_{u \neq k} [MASK] + \sigma_k^2 } \right)$$,\boxed{\| ( \mathbf{H}_k + \mathbf{G}_k \boldsymbol{\Theta} \mathbf{H}_{BR} ) \mathbf{f}_k \|_2^2} and \boxed{\| ( \mathbf{H}_k + \mathbf{G}_k \boldsymbol{\Theta} \mathbf{H}_{BR} ) \mathbf{f}_u \|_2^2},,,,,,,
candidate_shannon_capacity_07,shannon_capacity,XINLI1997/WirelessMATHBench-XL,12293,2507.14035v1,Fill in the logarithm function and the desired signal power term.,"$$R_{ik} = [MASK]\left(1 + \frac{ | [MASK] |^2 }{ \sum_{(j, r) \neq (i, k)} | \mathbf{h}_{ik,j}^H \mathbf{w}_{jr} |^2 + \sigma^2 } \right)$$","\boxed{\log_2} and \boxed{\mathbf{h}_{ik,i}^H \mathbf{w}_{ik}}",,,,,,,
candidate_shannon_capacity_08,shannon_capacity,XINLI1997/WirelessMATHBench-XL,13019,2409.14521v2,Write the complete piecewise function for data volume calculation.,$$D_k[n] = [MASK]$$,"\boxed{\begin{cases} \tau B R_k[n], & \mathrm{if}\ \mathbf{1}_k[n] = 1 \\ 0, & \mathrm{otherwise} \end{cases}}",,,,,,,
candidate_shannon_capacity_09,shannon_capacity,XINLI1997/WirelessMATHBench-XL,1306,2505.07555v1,What is the argument of the logarithm in the simplified sum rate expression?,$$\sum_{n=1}^{N} R_n^{\mathrm{NOMA}} = \log_2 \left([MASK]\right)$$,\boxed{\sum_{n=1}^{N} P_n h_n + \sigma^2},,,,,,,
candidate_shannon_capacity_10,shannon_capacity,XINLI1997/WirelessMATHBench-XL,1309,2505.07555v1,Write the complete simplified equation for the sum rate of all NOMA users.,$$\sum_{n=1}^{N} R_n^{\mathrm{NOMA}} = [MASK]$$,\boxed{\log_2 \left(\sum_{n=1}^{N} P_n h_n + \sigma^2\right)},,,,,,,
candidate_spectral_efficiency_01,spectral_efficiency,XINLI1997/WirelessMATHBench-XL,11012,2303.14351v1,Fill in the sub-channel bandwidth and the mathematical function used to calculate spectral efficiency.,"$$R_{n} = \sum_{m=1}^{M} \sum_{u=1}^{U} \sum_{s=1}^{S} [MASK] \cdot \rho_{n,m,s} \cdot [MASK] \left( 1 + \Gamma_{n,m,u,s} \right)$$",\boxed{W_{s}} and \boxed{\log_{2}},,,,,,,
candidate_spectral_efficiency_02,spectral_efficiency,XINLI1997/WirelessMATHBench-XL,13173,2401.05164v1,Complete the integration variable and the key parameters inside the spectral efficiency expression.,$$R(\boldsymbol{\theta}) = [MASK] \log \left| \mathbf{I} + \frac{ [MASK] }{ [MASK] } \right| \mathrm{d}f$$,"\boxed{\int_{\mathcal{B}}}, \boxed{\mathbf{H}(f, \boldsymbol{\theta}) \mathbf{G}(f) \mathbf{H}^\mathsf{H}(f, \boldsymbol{\theta})}, and \boxed{N_0}}",,,,,,,
candidate_spectral_efficiency_03,spectral_efficiency,XINLI1997/WirelessMATHBench-XL,13713,2208.14538v1,Complete the spectral efficiency summation and the interference summation scope.,$$r_{t} = [MASK] - \eta [MASK] \sum_{k' \neq k} p_{k'}^{(t)} |\boldsymbol{h}_{kk'}^{(t)}|^{2} \mathbb{I}_{k'}^{(t)}(k)$$,\boxed{\sum_{k=1}^{K} \log_{2}(1 + \gamma_{k}^{(t)})} and \boxed{\sum_{k=1}^{K}},,,,,,,
